company_top5,title,location,avg_experience,avg_base_salary
MICROSOFT,MARKETING,"Redmond, WA",11.333333333333334,152481.4814814815
OTHERS,"DATA SCIENTIST","San Jose, CA",5.260869565217392,152449.27536231885
AMAZON,"TECHNICAL PROGRAM MANAGER","Toronto, ON, Canada",20,152333.33333333334
OTHERS,RECRUITER,"Menlo Park, CA",10.625,152250
MICROSOFT,"SOFTWARE ENGINEER","Los Angeles, CA",10.25,152250
MICROSOFT,"PRODUCT MANAGER","Sunnyvale, CA",6.5,152000
OTHERS,MARKETING,"Saint Paul, MN",10,152000
OTHERS,"MANAGEMENT CONSULTANT","Columbus, OH",10,152000
OTHERS,MARKETING,"Jacksonville, FL",7,152000
AMAZON,"SOLUTION ARCHITECT","Detroit, MI",15,152000
AMAZON,"DATA SCIENTIST","Santa Monica, CA",1,152000
AMAZON,"TECHNICAL PROGRAM MANAGER","Rochester, NY",16,152000
AMAZON,"SOLUTION ARCHITECT","Cincinnati, OH",15,152000
AMAZON,"SOLUTION ARCHITECT","Phoenix, AZ",12,152000
OTHERS,"PRODUCT DESIGNER","Redwood City, CA",4.857142857142857,151857.14285714287
GOOGLE,"TECHNICAL PROGRAM MANAGER","Seattle, WA",11.181818181818182,151818.18181818182
OTHERS,"DATA SCIENTIST","Seattle, WA",5.828431372549019,151764.70588235295
OTHERS,"SOFTWARE ENGINEER","San Jose, CA",7.24112291350531,151760.69802731412
OTHERS,"SOLUTION ARCHITECT","Tampa, FL",16.75,151750
AMAZON,"PRODUCT MANAGER","Vancouver, BC, Canada",18,151666.66666666666
OTHERS,"SOFTWARE ENGINEER","Santa Monica, CA",5.0246913580246915,151629.62962962964
OTHERS,MARKETING,"Portland, OR",15,151500
AMAZON,"PRODUCT MANAGER","Chicago, IL",8,151500
OTHERS,"SOLUTION ARCHITECT","Arlington, VA",20,151500
OTHERS,"SOFTWARE ENGINEER","Bala Cynwyd, PA",8.5,151500
GOOGLE,"DATA SCIENTIST","Mountain View, CA",6.515151515151516,151484.84848484848
OTHERS,"DATA SCIENTIST","Sunnyvale, CA",4.537037037037037,151444.44444444444
GOOGLE,"BUSINESS ANALYST","Sunnyvale, CA",9.428571428571429,151428.57142857142
AMAZON,"SOLUTION ARCHITECT","Singapore, SG, Singapore",12.444444444444445,151333.33333333334
AMAZON,"DATA SCIENTIST","Atlanta, GA",4.666666666666667,151333.33333333334
APPLE,"TECHNICAL PROGRAM MANAGER","Sunnyvale, CA",10.666666666666666,151333.33333333334
APPLE,"HARDWARE ENGINEER","Santa Clara, CA",5.083333333333333,151333.33333333334
OTHERS,MARKETING,"Hillsboro, OR",15.4,151200
OTHERS,"SOFTWARE ENGINEER","Newark, CA",8.75,151125
OTHERS,"DATA SCIENTIST","Portland, OR",5.8,151100
OTHERS,"SOFTWARE ENGINEER","Allentown, PA",15,151000
AMAZON,SALES,"Washington, DC",4.5,151000
AMAZON,"PRODUCT MANAGER","Washington, DC",20,151000
OTHERS,"TECHNICAL PROGRAM MANAGER","Milpitas, CA",9.5,151000
GOOGLE,"PRODUCT MANAGER","Boston, MA",6.5,151000
OTHERS,"HUMAN RESOURCES","Folsom, CA",27,151000
OTHERS,"SOFTWARE ENGINEER","Berkeley, CA",4.9,150700
APPLE,"DATA SCIENTIST","San Francisco, CA",7,150666.66666666666
AMAZON,"SOLUTION ARCHITECT","Miami, FL",9.5,150500
OTHERS,"SOLUTION ARCHITECT","Folsom, CA",16.5,150500
ORACLE,"SOFTWARE ENGINEER","Washington, DC",17,150500
OTHERS,"PRODUCT MANAGER","Houston, TX",11.266666666666667,150400
OTHERS,"SOFTWARE ENGINEERING MANAGER","Boise, ID",12.333333333333334,150333.33333333334
OTHERS,"SOLUTION ARCHITECT","Seattle, WA",11.16,150110
OTHERS,"SOLUTION ARCHITECT","Philadelphia, PA",14.142857142857142,150000
OTHERS,"DATA SCIENTIST","Roseland, NJ",8,150000
AMAZON,RECRUITER,"Bellevue, WA",20,150000
AMAZON,"SOLUTION ARCHITECT","Boston, MA",14.375,150000
AMAZON,"DATA SCIENTIST","Charlotte, NC",2,150000
AMAZON,"MANAGEMENT CONSULTANT","Mexico, DF, Mexico",16,150000
AMAZON,"SOLUTION ARCHITECT","Zurich, ZH, Switzerland",9,150000
AMAZON,"SOFTWARE ENGINEER","St. Louis, MO",10,150000
AMAZON,"PRODUCT DESIGNER","Irvine, CA",15,150000
AMAZON,"SOLUTION ARCHITECT","San Antonio, TX",11,150000
AMAZON,"MECHANICAL ENGINEER","Santa Clara, CA",14,150000
AMAZON,SALES,"Chicago, IL",12.75,150000
AMAZON,"SOFTWARE ENGINEERING MANAGER","Munich, BY, Germany",15,150000
AMAZON,"PRODUCT MANAGER","Dallas, TX",11,150000
AMAZON,"SOLUTION ARCHITECT","Louisville, KY",13,150000
AMAZON,"SOFTWARE ENGINEER","Atlanta, GA",10,150000
AMAZON,"SOLUTION ARCHITECT","Columbus, OH",9,150000
AMAZON,"HUMAN RESOURCES","San Diego, CA",10,150000
AMAZON,"TECHNICAL PROGRAM MANAGER","Salt Lake City, UT",23,150000
AMAZON,"DATA SCIENTIST","San Diego, CA",5,150000
AMAZON,"DATA SCIENTIST","Washington, DC",20,150000
AMAZON,"SOFTWARE ENGINEER","Milwaukee, WI",2,150000
AMAZON,"TECHNICAL PROGRAM MANAGER","Munich, BY, Germany",20,150000
APPLE,"BUSINESS ANALYST","San Francisco, CA",0,150000
APPLE,"SOFTWARE ENGINEER","Elk Grove, CA",15,150000
APPLE,"SOFTWARE ENGINEER","Boulder, CO",3,150000
APPLE,"SOFTWARE ENGINEER","Dallas, TX",9,150000
OTHERS,SALES,"Santa Clara, CA",19.5,150000
OTHERS,"DATA SCIENTIST","Watertown, MA",3,150000
OTHERS,"HARDWARE ENGINEER","El Segundo, CA",10,150000
OTHERS,"HARDWARE ENGINEER","Irvine, CA",12.9,150000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Shenzhen, GD, China",12,150000
OTHERS,"SOLUTION ARCHITECT","New York Mills, MN",7,150000
OTHERS,"SOLUTION ARCHITECT","Riyadh, RI, Saudi Arabia",5,150000
OTHERS,"SOLUTION ARCHITECT","Boxborough, MA",22,150000
OTHERS,"PRODUCT MANAGER","Fort Lauderdale, FL",15,150000
OTHERS,"SOFTWARE ENGINEER","Eatontown, NJ",15,150000
OTHERS,"DATA SCIENTIST","Reston, VA",8,150000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Herzliyya, TA, Israel",13.5,150000
OTHERS,"HUMAN RESOURCES","Sacramento, CA",30,150000
OTHERS,"SOFTWARE ENGINEER","Monument, CO",5,150000
OTHERS,"SOFTWARE ENGINEER","Kwajalein, MH, Marshall Islands",2,150000
OTHERS,SALES,"Piscataway, NJ",13,150000
OTHERS,"MANAGEMENT CONSULTANT","Hoboken, NJ",7.5,150000
OTHERS,"HARDWARE ENGINEER","Pontiac, MI",6,150000
GOOGLE,"SOFTWARE ENGINEERING MANAGER","Montreal, QC, Canada",20,150000
GOOGLE,"SOLUTION ARCHITECT","Sydney, NS, Australia",12,150000
GOOGLE,"PRODUCT MANAGER","Mountain View, AR",5,150000
GOOGLE,"HUMAN RESOURCES","Tokyo, TY, Japan",15,150000
GOOGLE,"SOFTWARE ENGINEERING MANAGER","Hyderabad, AP, India",20,150000
GOOGLE,MARKETING,"Los Angeles, CA",12,150000
GOOGLE,"PRODUCT DESIGNER","Menlo Park, CA",7,150000
GOOGLE,"PRODUCT MANAGER","Boulder, CO",15,150000
OTHERS,"TECHNICAL PROGRAM MANAGER","Holmdel, NJ",8,150000
OTHERS,"TECHNICAL PROGRAM MANAGER","Raritan, NJ",15,150000
OTHERS,"SOFTWARE ENGINEER","Westerville, OH",20,150000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Renton, WA",10,150000
OTHERS,"SOFTWARE ENGINEER","St. Petersburg, FL",6,150000
OTHERS,"SOFTWARE ENGINEER","New Hampton, NH",8,150000
MICROSOFT,MARKETING,"Johannesburg, GT, South Africa",18,150000
MICROSOFT,"TECHNICAL PROGRAM MANAGER","Bellevue, WA",9.25,150000
MICROSOFT,"PRODUCT MANAGER","Mountain View, CA",14,150000
MICROSOFT,"SOFTWARE ENGINEER","Philadelphia, PA",8,150000
MICROSOFT,"TECHNICAL PROGRAM MANAGER","Portland, OR",17,150000
MICROSOFT,"SOLUTION ARCHITECT","Austin, TX",10,150000
OTHERS,"PRODUCT MANAGER","Los Alamitos, CA",5,150000
ORACLE,"BUSINESS ANALYST","Santa Monica, CA",24,150000
ORACLE,"SOFTWARE ENGINEERING MANAGER","Denver, CO",9,150000
ORACLE,"SOFTWARE ENGINEER","Portland, OR",15,150000
ORACLE,"SOFTWARE ENGINEERING MANAGER","Chicago, IL",15,150000
ORACLE,"PRODUCT DESIGNER","Washington, DC",9,150000
ORACLE,"DATA SCIENTIST","Los Angeles, CA",3,150000
OTHERS,"SOFTWARE ENGINEER","Tewksbury, MA",5,150000
OTHERS,RECRUITER,"Atlanta, GA",7,150000
OTHERS,MARKETING,"Ridgefield Park, NJ",21,150000
OTHERS,"MANAGEMENT CONSULTANT","Palo Alto, CA",11.666666666666666,150000
OTHERS,"MECHANICAL ENGINEER","Santa Barbara, CA",15,150000
OTHERS,"SOFTWARE ENGINEER","Sparks, NV",4,150000
OTHERS,"SOFTWARE ENGINEER","West Hollywood, CA",5,150000
OTHERS,"PRODUCT MANAGER","Needham, MA",11,150000
OTHERS,RECRUITER,"Pittsburgh, PA",15,150000
OTHERS,"PRODUCT MANAGER","Grand Rapids, MI",6,150000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Bentonville, AR",16,150000
OTHERS,"DATA SCIENTIST","Sacramento, CA",3,150000
MICROSOFT,"MECHANICAL ENGINEER","Redmond, WA",9,149846.15384615384
OTHERS,"BUSINESS ANALYST","Palo Alto, CA",8.5,149750
OTHERS,"BUSINESS ANALYST","Santa Clara, CA",10.571428571428571,149714.2857142857
GOOGLE,MARKETING,"San Francisco, CA",7.875,149687.5
MICROSOFT,"DATA SCIENTIST","Bellevue, WA",4.157894736842105,149684.2105263158
AMAZON,"DATA SCIENTIST","New York, NY",3.7222222222222223,149666.66666666666
OTHERS,"HUMAN RESOURCES","San Francisco, CA",8.525,149625
AMAZON,"TECHNICAL PROGRAM MANAGER","Herndon, VA",10.857142857142858,149571.42857142858
APPLE,"HARDWARE ENGINEER","San Diego, CA",10.2,149500
OTHERS,"DATA SCIENTIST","San Diego, CA",4.421052631578948,149421.05263157896
OTHERS,"MANAGEMENT CONSULTANT","Seattle, WA",7.645161290322581,149387.09677419355
OTHERS,"BUSINESS ANALYST","San Mateo, CA",5.8,149200
ORACLE,"PRODUCT DESIGNER","Seattle, WA",11.714285714285714,149142.85714285713
MICROSOFT,"TECHNICAL PROGRAM MANAGER","Charlotte, NC",12.5,149000
MICROSOFT,"HARDWARE ENGINEER","Fort Collins, CO",14,149000
OTHERS,"SOFTWARE ENGINEER","Englewood Cliffs, NJ",10,149000
ORACLE,"SOFTWARE ENGINEER","Santa Clara, CA",7,149000
OTHERS,RECRUITER,"San Mateo, CA",10.5,149000
AMAZON,"TECHNICAL PROGRAM MANAGER","Cambridge, MA",9.5,149000
APPLE,"SOFTWARE ENGINEER","New York, NY",6,149000
APPLE,"SOFTWARE ENGINEER","Tokyo, TY, Japan",10,149000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Hopewell, NJ",15,149000
OTHERS,"SOFTWARE ENGINEER","Greenwich, CT",9.333333333333334,149000
AMAZON,"SOFTWARE ENGINEER","New York, NY",4.62396694214876,148752.06611570247
OTHERS,"SOLUTION ARCHITECT","Sydney, NS, Australia",13.666666666666666,148666.66666666666
GOOGLE,"SOFTWARE ENGINEER","Kirkland, WA",7.4375,148587.5
APPLE,"SOFTWARE ENGINEER","Los Angeles, CA",3,148500
OTHERS,"HARDWARE ENGINEER","New York, NY",6.666666666666667,148500
MICROSOFT,SALES,"Philadelphia, PA",9,148500
GOOGLE,"HARDWARE ENGINEER","Sunnyvale, CA",6.2727272727272725,148454.54545454544
AMAZON,"SOLUTION ARCHITECT","Austin, TX",7.75,148375
OTHERS,SALES,"Sydney, NS, Australia",10.666666666666666,148333.33333333334
OTHERS,"TECHNICAL PROGRAM MANAGER","Austin, TX",13.346153846153847,148307.6923076923
APPLE,"DATA SCIENTIST","Austin, TX",5.857142857142857,148285.7142857143
MICROSOFT,"SOLUTION ARCHITECT","New York, NY",14.266666666666667,148200
GOOGLE,"DATA SCIENTIST","San Francisco, CA",3.7857142857142856,148142.85714285713
OTHERS,"SOFTWARE ENGINEER","Venice, CA",2.5,148000
OTHERS,"TECHNICAL PROGRAM MANAGER","Florham Park, NJ",9,148000
OTHERS,"MANAGEMENT CONSULTANT","Menlo Park, CA",5,148000
MICROSOFT,"BUSINESS ANALYST","Los Angeles, CA",12,148000
OTHERS,"PRODUCT MANAGER","Morristown, NJ",15,148000
GOOGLE,"SOFTWARE ENGINEER","San Francisco, CA",5.323420074349443,147754.6468401487
AMAZON,"PRODUCT DESIGNER","Austin, TX",7.5,147500
AMAZON,"SOFTWARE ENGINEER","Charlotte, NC",8.5,147500
OTHERS,"SOFTWARE ENGINEER","New York Mills, MN",2.5,147500
GOOGLE,MARKETING,"San Jose, CA",7.5,147500
OTHERS,"SOFTWARE ENGINEERING MANAGER","Folsom, CA",9.5,147500
MICROSOFT,"SOFTWARE ENGINEERING MANAGER","Dublin, DN, Ireland",15.5,147500
OTHERS,"HUMAN RESOURCES","Sunnyvale, CA",10.6,147400
MICROSOFT,"DATA SCIENTIST","Seattle, WA",6.804347826086956,147391.30434782608
OTHERS,"TECHNICAL PROGRAM MANAGER","Denver, CO",8.333333333333334,147333.33333333334
APPLE,"SOFTWARE ENGINEER","Vancouver, BC, Canada",11,147285.7142857143
AMAZON,"SOFTWARE ENGINEER","Boulder, CO",6.5,147250
OTHERS,"SOFTWARE ENGINEER","Kirkland, WA",7.588235294117647,147137.25490196078
APPLE,"SOFTWARE ENGINEER","Santa Clara, CA",6.476190476190476,147047.61904761905
OTHERS,"TECHNICAL PROGRAM MANAGER","Chicago, IL",13.875,147000
OTHERS,"DATA SCIENTIST","Beaverton, OR",10.333333333333334,147000
ORACLE,"SOFTWARE ENGINEER","Atlanta, GA",16.75,147000
OTHERS,"HARDWARE ENGINEER","hod hasharon, HM, Israel",8,147000
OTHERS,MARKETING,"Bellevue, WA",11,147000
OTHERS,"DATA SCIENTIST","Foster City, CA",3.5,146875
OTHERS,"MANAGEMENT CONSULTANT","Houston, TX",7.435897435897436,146769.23076923078
AMAZON,"SOLUTION ARCHITECT","Melbourne, VI, Australia",12.5,146750
AMAZON,"TECHNICAL PROGRAM MANAGER","Boston, MA",9.333333333333334,146666.66666666666
OTHERS,"SOFTWARE ENGINEER","Aarhus, AR, Denmark",4.8,146600
MICROSOFT,"SOLUTION ARCHITECT","Miami, FL",17.5,146500
OTHERS,"SOFTWARE ENGINEERING MANAGER","Dearborn, MI",13,146500
GOOGLE,"BUSINESS ANALYST","San Francisco, CA",6.7272727272727275,146363.63636363635
AMAZON,"SOFTWARE ENGINEER","Sunnyvale, CA",5.889423076923077,146346.15384615384
OTHERS,"PRODUCT DESIGNER","Mountain View, CA",7.64,146240
AMAZON,"TECHNICAL PROGRAM MANAGER","Washington, DC",11.666666666666666,146000
AMAZON,"SOLUTION ARCHITECT","Orange, CA",22,146000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Clementi, SG, Singapore",15,146000
OTHERS,"HUMAN RESOURCES","Houston, TX",14,146000
OTHERS,RECRUITER,"Plano, TX",10,146000
OTHERS,"MANAGEMENT CONSULTANT","New Brunswick, NJ",8,146000
OTHERS,"HARDWARE ENGINEER","Camas, WA",5,146000
MICROSOFT,"BUSINESS ANALYST","Redmond, WA",9.714285714285714,146000
MICROSOFT,MARKETING,"Bellevue, WA",11.666666666666666,146000
OTHERS,"SOFTWARE ENGINEER","Elkridge, MD",5,146000
OTHERS,"PRODUCT MANAGER","South San Francisco, CA",7,146000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Victoria, BC, Canada",15,146000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Detroit, MI",15,145750
AMAZON,"SOLUTION ARCHITECT","Herndon, VA",12.4,145650
OTHERS,"TECHNICAL PROGRAM MANAGER","London, EN, United Kingdom",15.25,145500
GOOGLE,"PRODUCT DESIGNER","Pittsburgh, PA",8.5,145500
MICROSOFT,"PRODUCT DESIGNER","Bellevue, WA",4.5,145500
OTHERS,"SOFTWARE ENGINEERING MANAGER","London, EN, United Kingdom",13.464285714285714,145428.57142857142
OTHERS,"PRODUCT MANAGER","Raleigh, NC",10.909090909090908,145363.63636363635
APPLE,"SOFTWARE ENGINEER","Austin, TX",7.795918367346939,145061.22448979592
OTHERS,"SOLUTION ARCHITECT","Portland, OR",12.714285714285714,145000
OTHERS,"DATA SCIENTIST","Emeryville, CA",4,145000
AMAZON,"SOFTWARE ENGINEER","Philadelphia, PA",4.5,145000
AMAZON,MARKETING,"Atlanta, GA",15,145000
AMAZON,"HUMAN RESOURCES","San Francisco, CA",22,145000
AMAZON,"SOFTWARE ENGINEER","Costa Mesa, CA",3,145000
APPLE,"TECHNICAL PROGRAM MANAGER","San Diego, CA",2,145000
APPLE,"MECHANICAL ENGINEER","San Francisco, CA",11,145000
APPLE,"SOFTWARE ENGINEER","Boston, MA",4,145000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Sydney, NS, Australia",11.666666666666666,145000
OTHERS,"HARDWARE ENGINEER","Irvine, PA",6,145000
OTHERS,"PRODUCT MANAGER","Issaquah, WA",13,145000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Grand Rapids, MI",11,145000
OTHERS,"SOLUTION ARCHITECT","Halifax, NS, Canada",30,145000
OTHERS,"DATA SCIENTIST","Jersey City, NJ",9.4,145000
GOOGLE,"MECHANICAL ENGINEER","San Jose, CA",5,145000
GOOGLE,"SOFTWARE ENGINEER","Tampa, FL",5,145000
GOOGLE,"HARDWARE ENGINEER","San Francisco, CA",7,145000
GOOGLE,MARKETING,"Gurgaon, HR, India",12,145000
OTHERS,"SOLUTION ARCHITECT","Colorado Springs, CO",20,145000
MICROSOFT,"TECHNICAL PROGRAM MANAGER","Houston, TX",13,145000
MICROSOFT,"SOFTWARE ENGINEER","Fargo, ND",15,145000
MICROSOFT,"PRODUCT MANAGER","Atlanta, GA",20,145000
ORACLE,"SOLUTION ARCHITECT","Dubai, DU, United Arab Emirates",10,145000
ORACLE,"DATA SCIENTIST","Reston, VA",4,145000
ORACLE,"SOFTWARE ENGINEER","Colorado Springs, CO",13.5,145000
ORACLE,"HUMAN RESOURCES","Mckinney, TX",11,145000
ORACLE,"SOFTWARE ENGINEER","Dublin, CA",4,145000
ORACLE,"PRODUCT MANAGER","San Jose, CA",10,145000
ORACLE,"SOFTWARE ENGINEER","Arvada, CO",20,145000
OTHERS,"SOFTWARE ENGINEER","Deerfield Beach, FL",10.5,145000
OTHERS,"HARDWARE ENGINEER","Bellevue, WA",8,145000
OTHERS,"SOLUTION ARCHITECT","Scottsdale, AZ",14,145000
OTHERS,"PRODUCT MANAGER","Malvern, PA",17,145000
OTHERS,"HARDWARE ENGINEER","Mountain View, CA",7,144937.5
AMAZON,"SOLUTION ARCHITECT","Dallas, TX",13.2,144800
OTHERS,"PRODUCT MANAGER","Austin, TX",8.731707317073171,144768.29268292684
OTHERS,"PRODUCT MANAGER","Bangkok, BM, Thailand",9.333333333333334,144666.66666666666
AMAZON,"PRODUCT MANAGER","New York, NY",9.71875,144656.25
MICROSOFT,"SOFTWARE ENGINEER","Boston, MA",7.2727272727272725,144545.45454545456
OTHERS,"MANAGEMENT CONSULTANT","New York, NY",6.1656441717791415,144423.31288343557
OTHERS,MARKETING,"Atlanta, GA",8,144400
GOOGLE,"PRODUCT MANAGER","London, EN, United Kingdom",14.6,144400
AMAZON,"TECHNICAL PROGRAM MANAGER","Portland, OR",11.333333333333334,144333.33333333334
OTHERS,"DATA SCIENTIST","Ann Arbor, MI",12.666666666666666,144333.33333333334
OTHERS,"TECHNICAL PROGRAM MANAGER","Beaverton, OR",15.333333333333334,144333.33333333334
OTHERS,"PRODUCT DESIGNER","New York, NY",6.989010989010989,144296.7032967033
AMAZON,"TECHNICAL PROGRAM MANAGER","Seattle, WA",11.409448818897637,144259.84251968504
OTHERS,"SOFTWARE ENGINEERING MANAGER","Houston, TX",12.875,144250
GOOGLE,RECRUITER,"Mountain View, CA",9.727272727272727,144090.9090909091
AMAZON,"TECHNICAL PROGRAM MANAGER","Arlington, VA",16.4,144000
APPLE,"PRODUCT MANAGER","Los Angeles, CA",7,144000
GOOGLE,"SOFTWARE ENGINEER","Atlanta, GA",4.333333333333333,144000
GOOGLE,"TECHNICAL PROGRAM MANAGER","Austin, TX",23,144000
OTHERS,SALES,"Dubai, DU, United Arab Emirates",10,144000
OTHERS,"MANAGEMENT CONSULTANT","Santiago, RM, Chile",12,144000
MICROSOFT,"SOLUTION ARCHITECT","Kansas City, MO",22,144000
MICROSOFT,"MANAGEMENT CONSULTANT","St. Louis, MO",20,144000
MICROSOFT,"SOFTWARE ENGINEER","Orlando, FL",15,144000
OTHERS,"TECHNICAL PROGRAM MANAGER","Azusa, CA",3,144000
ORACLE,"SOLUTION ARCHITECT","Denver, CO",25,144000
OTHERS,"SOFTWARE ENGINEER","Belmont, CA",6,144000
OTHERS,"SOFTWARE ENGINEER","Zug, ZG, Switzerland",15,144000
OTHERS,"PRODUCT MANAGER","Allen, TX",8,144000
OTHERS,"SOLUTION ARCHITECT","Alpharetta, GA",23,144000
OTHERS,MARKETING,"Seattle, WA",11.631578947368421,143894.73684210525
OTHERS,"SOFTWARE ENGINEER","Oakland, CA",5.923076923076923,143692.3076923077
AMAZON,"PRODUCT MANAGER","Irvine, CA",9,143600
GOOGLE,"SOFTWARE ENGINEER","Tel Aviv, TA, Israel",9.61111111111111,143500
OTHERS,"PRODUCT MANAGER","Petach Tikva, HM, Israel",14.5,143500
ORACLE,"SOFTWARE ENGINEERING MANAGER","Broomfield, CO",6.5,143500
MICROSOFT,"PRODUCT MANAGER","Detroit, MI",13,143333.33333333334
AMAZON,"HARDWARE ENGINEER","Bellevue, WA",8,143333.33333333334
OTHERS,"HARDWARE ENGINEER","Sunnyvale, CA",8.5,143178.57142857142
MICROSOFT,"PRODUCT MANAGER","Seattle, WA",7.8274111675126905,143172.58883248732
MICROSOFT,"SOFTWARE ENGINEER","Hilbert, WI",8,143000
OTHERS,"HARDWARE ENGINEER","San Diego, TX",8,143000
AMAZON,"SOFTWARE ENGINEERING MANAGER","Nashville, TN",14.5,143000
AMAZON,"PRODUCT DESIGNER","Minneapolis, MN",6,143000
AMAZON,"SOLUTION ARCHITECT","Texas City, TX",10,143000
OTHERS,"PRODUCT DESIGNER","Milpitas, CA",8.333333333333334,143000
GOOGLE,"MANAGEMENT CONSULTANT","Dubai, DU, United Arab Emirates",7,143000
OTHERS,"SOLUTION ARCHITECT","Raleigh, NC",13,142875
MICROSOFT,"PRODUCT DESIGNER","Redmond, WA",6.4186046511627906,142860.46511627908
ORACLE,"SOFTWARE ENGINEER","San Francisco, CA",7.206896551724138,142827.58620689655
OTHERS,"SOLUTION ARCHITECT","Dallas, TX",14.272727272727273,142772.72727272726
AMAZON,"SOLUTION ARCHITECT","New York, NY",10.444444444444445,142740.74074074073
OTHERS,"SOLUTION ARCHITECT","Atlanta, GA",16.466666666666665,142733.33333333334
AMAZON,MARKETING,"Singapore, SG, Singapore",9.333333333333334,142666.66666666666
MICROSOFT,"SOLUTION ARCHITECT","Atlanta, GA",9,142666.66666666666
ORACLE,"SOFTWARE ENGINEER","Arlington, VA",11.333333333333334,142666.66666666666
MICROSOFT,"SOFTWARE ENGINEER","Washington, DC",10,142636.36363636365
OTHERS,"BUSINESS ANALYST","Herndon, VA",6.5,142500
OTHERS,SALES,"Paris, IL, France",16,142500
OTHERS,MARKETING,"Washington, DC",15,142500
OTHERS,"SOFTWARE ENGINEER","Foster City, CA",5.235955056179775,142483.14606741574
MICROSOFT,MARKETING,"Seattle, WA",9.609756097560975,142463.41463414635
OTHERS,"MANAGEMENT CONSULTANT","Detroit, MI",8.285714285714286,142428.57142857142
GOOGLE,"SOFTWARE ENGINEER","Seattle, WA",5.656015037593985,142187.96992481203
MICROSOFT,"SOLUTION ARCHITECT","Redmond, WA",14.272727272727273,142090.9090909091
AMAZON,"SOFTWARE ENGINEERING MANAGER","Seattle, WA",14.836363636363636,142020.79545454544
AMAZON,"PRODUCT DESIGNER","Denver, CO",10,142000
AMAZON,"PRODUCT DESIGNER","Santa Monica, CA",6,142000
AMAZON,"SOFTWARE ENGINEER","Virgilina, VA",7,142000
AMAZON,MARKETING,"Santa Monica, CA",6,142000
AMAZON,"SOFTWARE ENGINEER","Columbus, OH",6,142000
OTHERS,"HARDWARE ENGINEER","Santa Barbara, CA",7,142000
APPLE,"PRODUCT MANAGER","Sunnyvale, CA",8.666666666666666,142000
APPLE,"MECHANICAL ENGINEER","San Diego, CA",6,142000
OTHERS,"MANAGEMENT CONSULTANT","San Diego, CA",15.666666666666666,142000
GOOGLE,"SOFTWARE ENGINEER","Bellevue, WA",9,142000
GOOGLE,"SOFTWARE ENGINEER","Pittsburg, CA",0,142000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Reno, NV",15,142000
OTHERS,"PRODUCT DESIGNER","Natick, MA",24,142000
MICROSOFT,"SOFTWARE ENGINEER","Arlington, VA",3,142000
MICROSOFT,"SOFTWARE ENGINEER","Cambridge, EN, United Kingdom",7,142000
MICROSOFT,"PRODUCT MANAGER","Oakland, CA",4,142000
MICROSOFT,"PRODUCT MANAGER","Berlin, BE, Germany",8,142000
ORACLE,"SOLUTION ARCHITECT","New York, NY",20,142000
OTHERS,"SOFTWARE ENGINEER","Langhorne, PA",21,142000
OTHERS,"HARDWARE ENGINEER","San Diego, CA",8.510204081632653,141918.3673469388
GOOGLE,"TECHNICAL PROGRAM MANAGER","New York, NY",8.785714285714286,141785.7142857143
AMAZON,MARKETING,"San Francisco, CA",10,141666.66666666666
ORACLE,"SOFTWARE ENGINEER","Los Angeles, CA",6.888888888888889,141666.66666666666
OTHERS,"SOFTWARE ENGINEERING MANAGER","Tampa, FL",12.333333333333334,141500
APPLE,"SOFTWARE ENGINEER","Herzliyya, TA, Israel",6.6,141400
MICROSOFT,"HARDWARE ENGINEER","Seattle, WA",3.6,141400
OTHERS,"PRODUCT MANAGER","Boston, MA",8.709183673469388,141346.9387755102
AMAZON,"PRODUCT MANAGER","Herndon, VA",7.333333333333333,141333.33333333334
AMAZON,"SOFTWARE ENGINEER","San Francisco, CA",5.481283422459893,141328.44919786096
AMAZON,"PRODUCT MANAGER","Nashville, TN",9,141250
AMAZON,"PRODUCT MANAGER","Bellevue, WA",8.5,141250
MICROSOFT,"HARDWARE ENGINEER","Portland, OR",7.666666666666667,141166.66666666666
OTHERS,"SOLUTION ARCHITECT","Houston, TX",14.571428571428571,141142.85714285713
OTHERS,"SOFTWARE ENGINEER","Campbell, CA",10.4,141000
AMAZON,MARKETING,"Los Angeles, CA",9.857142857142858,141000
AMAZON,"PRODUCT MANAGER","Austin, TX",11,141000
AMAZON,"SOFTWARE ENGINEERING MANAGER","Toronto, ON, Canada",12.4,141000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Dublin, DN, Ireland",13.916666666666666,141000
MICROSOFT,"TECHNICAL PROGRAM MANAGER","Burlington, MA",8,141000
MICROSOFT,"MECHANICAL ENGINEER","Seattle, WA",3.25,141000
MICROSOFT,"SOLUTION ARCHITECT","Singapore, SG, Singapore",12,141000
ORACLE,"SOFTWARE ENGINEER","San Rafael, CA",20,141000
